host_id,host_name,host_listings_count,license
1678,Izzy,2,Exempt
2234,Anna,1,No License
2571,Kosmopolitan,3,No License
2787,John,2,No License
2845,Salvatore,2,No License
2868,Letha M.,1,No License
4396,Urban Furnished,256,No License
5089,Mariana,1,No License
7356,Beverly,1,No License
7450,Jennifer,1,OSE-STRREG-0000078
7500,Halima,1,No License
7702,Bugra Han,36,Exempt
8605,Jacqueline Mia,1,No License
8703,Sarah,1,No License
10496,Jeniffer,139,No License
11175,Ainslie,2,OSE-STRREG-0000479
11481,Teresa,4,No License
12220,Junior,5,No License
14751,Chris,1,No License
15192,Noura,3,No License
15523,Clarabel,1,No License
15574,Christopher And Anna,1,Exempt
15991,Isiah,1,No License
16104,Dean,2,No License
16800,Hannah M.,47,No License
17297,Shogo,249,No License
17571,Hudson River,26,Exempt
17985,James,1,No License
19402,George,1,No License
20549,RoomPicks By Victoria,118,No License
20830,Jeniffer,139,No License
21207,Meiron,9,No License
21306,Outpost Club,3,No License
21823,Tyler,3,No License
23193,Paris,4,No License
24000,Elizabeth,1,OSE-STRREG-0000886
24668,Eibhlin,23,No License
25137,Lakisha,6,No License
25183,Jamison,1,No License
25459,Mint House At 70 Pine,8,Exempt
27848,Camila,4,No License
27892,James&Laureta,6,Exempt
28336,Geordie,1,No License
29096,Hugo,4,Exempt
30193,Nina,7,No License
32212,Michael,69,No License
32613,Hawwah,1,No License
33188,Natasha,2,No License
35935,Sonder (NYC),84,Exempt
36641,Momoyo,236,No License
36897,Urban Furnished,54,No License
39260,Wapt,30,No License
39827,Adrianne,2,No License
40275,Belisa,9,Exempt
42273,The Box House Hotel,30,Exempt
45384,Faye,2,No License
46719,Kevin,1,No License
46978,Shelley,2,Exempt
47437,Neil,1,No License
48026,Alan,11,No License
50124,Julia,9,Exempt
50148,Nomad,53,Exempt
50912,Gigi,5,Exempt
51038,Rita,4,No License
52697,Elmahdi,2,No License
53132,Molly,1,No License
53621,Michael,1,No License
54275,Fenix,27,No License
55176,John,1,No License
56246,Jameelah,4,No License
56252,Ji,2,No License
57059,Constanza,1,No License
57101,Iodele,1,No License
57994,Address In NYC,21,Exempt
58366,Ana,1,Exempt
58556,Carol,2,No License
60046,Ms. Yvonne,1,No License
60049,Ted,1,No License
60252,Frank,1,No License
60278,Aka,16,Exempt
60923,Omri,1,No License
61531,Sue,1,No License
62001,Julia,9,Exempt
62165,Kaz,93,No License
62345,Valerie Lynn-McDonough,1,No License
62508,Randa,1,No License
62734,Maria,4,No License
62745,Nomad,53,Exempt
62803,Sunny,6,No License
62855,Roman,1,No License
64442,Hudson River,26,Exempt
65212,Eli,2,OSE-STRREG-0001073
65610,Luis Enrique,12,No License
65804,Maria,2,No License
65837,Maria,1,No License
66035,Rhondella,1,Exempt
66276,Fabiola,1,No License
66286,Alex,4,No License
66926,Dan,1,No License
67523,Stella,3,No License
67778,Josephine,4,No License
68890,LuxUrban,35,Exempt
69510,Rick,2,No License
69527,Hiroki,267,No License
69942,Dean,3,No License
70091,Devon,7,No License
70234,Anastasia,5,No License
70857,Jocelyne,2,No License
71876,Sonder (NYC),84,Exempt
73549,Central Park Apartments,35,No License
74857,Ina,2,No License
75857,Bi,6,No License
79339,Ines,1,Exempt
81335,Shogo,249,No License
82518,Gisele,35,No License
82685,Dyar,5,No License
83257,Bridge,16,No License
84529,Nathaly Carmen,1,No License
85330,Kirsten,1,No License
87105,Susan,1,No License
87266,Martin,2,No License
90643,Leah,2,No License
92451,Chijioke,1,OSE-STRREG-0000438
92788,Robert,1,No License
93790,Stay With Vibe,133,No License
94669,Emory,1,No License
97797,Joan,1,No License
98047,Laura,1,No License
100288,Jeniffer,139,No License
100688,Adam,1,No License
103729,Marissa,1,No License
104250,Yaniv And Vanessa,3,No License
104458,Raquel,4,No License
106125,Bruce,2,Exempt
107016,Michael,2,No License
107243,Urban Furnished,256,No License
109738,Xiuyun,2,No License
110359,Hannah M.,47,No License
110506,Brian,4,No License
114590,Laura,1,No License
116599,Andrew,2,No License
117287,Lara Nicole,3,No License
117949,Sonia,2,No License
119441,Pearl,2,Exempt
120223,Jen,1,No License
120623,Nilita,1,No License
120835,Serra,2,No License
121822,Shogo,249,No License
124352,Eibhlin,23,No License
124357,Alexis,4,No License
125857,Uli,1,No License
127292,Peter,11,No License
127608,Masoud,1,No License
127767,Jennifer,3,No License
128194,Midtown West,3,Exempt
128256,Jerry,1,No License
128480,Rachel,4,No License
128663,Tina,1,No License
128806,Carol,1,No License
130901,Blueground,713,No License
133077,Sharon,1,No License
137292,Amadu,1,No License
137814,Placemakr Wall Street,15,Exempt
141300,Antoinette,1,OSE-STRREG-0000069
142147,O,1,No License
143027,Geo And Alex,22,No License
148014,Amiee,8,No License
148108,Alberto,1,Exempt
148231,Juliana,1,No License
149929,Sheila,6,No License
153494,Shaye,1,No License
153817,Liliya,1,OSE-STRREG-0000382
154061,Rr,2,No License
154866,Britton,1,No License
154956,Tamara,4,No License
159457,Esplanade 99,19,No License
160337,Tess,2,No License
164675,Jaime,2,No License
165789,Barbi,2,No License
166532,Urban Furnished,256,No License
166634,Lou,3,OSE-STRREG-0000986
167441,Ben,4,No License
167759,Heather,1,No License
168525,Michael,2,Exempt
169423,Demi,1,No License
169653,Placemakr Wall Street,15,Exempt
169843,G,3,No License
169927,Radhames,3,No License
170034,Shanie,6,No License
173307,Heidi,1,No License
177712,Amara,1,No License
177846,Shemi,12,Exempt
177922,Outpost Club,9,No License
179020,Sandra,2,OSE-STRREG-0000396
179679,Yonathan,1,No License
181376,Luis Enrique,12,No License
181756,Sonia,1,No License
182852,Quality,6,No License
184755,Dini,2,No License
185446,Beverly,1,No License
185745,Furnished Quarters,164,No License
185978,Maria,3,Exempt
186084,Hannah,2,No License
187827,Liam,1,Exempt
188082,Outsite,13,No License
188896,Candace,4,No License
189275,Pablo,2,OSE-STRREG-0000112
189538,Nicosia,1,No License
190063,NY Blue House,1,OSE-STRREG-0000899
190239,Giselle,2,No License
193488,Elizabeth,2,No License
198411,Choukri,1,No License
199392,Daniel,6,No License
201223,Marianne,1,No License
201390,Meggie,1,OSE-STRREG-0000762
202285,Fabrizio,1,No License
203039,Jeniffer,139,No License
203444,48Lex,9,No License
204326,Paz,2,Exempt
204472,Raul,1,No License
204539,Aracelis,9,No License
205760,Urban Furnished,256,No License
206115,Sue,1,No License
207277,Valentine,2,No License
208410,Mauricio,1,No License
208565,Milosz,1,No License
208983,Maria,2,No License
209460,Gus,9,No License
209483,Kate,1,No License
210746,Timur,3,No License
213020,Bruno,1,No License
219313,Devin,1,Exempt
221893,Anna + Michael,1,No License
224009,Gisele,35,No License
228012,Mel,1,No License
228858,Vanessa,9,No License
240048,Lisa,7,Exempt
241395,Freehand,5,Exempt
241559,Magda & Ian,1,No License
244071,Rafael,7,No License
244340,RoomPicks,259,Exempt
244560,Alfredo,1,No License
246928,Jorge,5,No License
248490,Furnished Quarters,164,No License
249006,Diamond,1,No License
249372,Eddie,1,No License
251039,Damion And Brandii,1,No License
251842,Urban Furnished,256,No License
252121,Francisco,4,No License
252361,Maku,1,No License
254828,Naafeh,1,No License
254846,Paradise Suites,37,No License
256161,Momoyo,236,No License
256590,Anatha Angèle,2,No License
257541,Stay With Vibe,133,No License
258072,Julio,4,No License
258164,Kate,1,No License
258674,MacKenzie,1,No License
260537,Tom,4,No License
260682,Cornelius,5,No License
262812,Cherry-Ann,1,No License
263510,NYC Rentals,6,No License
265109,Shelby,1,No License
265152,Marta,2,No License
265525,Steve,6,No License
265832,Oran,1,No License
266871,Darina,6,No License
267955,Isidora,1,No License
268502,Doris,1,No License
271527,Jianfeng,2,No License
271799,Omri,1,No License
272006,Fabienne,2,No License
274333,Raphael,1,No License
276291,Kaz,93,No License
277379,Douglas,3,No License
278393,Jared,4,No License
281777,Sue,3,No License
282315,Stanley,83,No License
282655,Dyar,5,No License
282927,Paradise Suites,37,No License
283636,Stay With Vibe,133,No License
283944,Grace,1,No License
287733,Lucy,9,Exempt
289135,Ally,3,No License
290055,Andrew,1,OSE-STRREG-0000815
290503,Sofia,1,No License
290662,Elana,2,No License
290845,Arthouse Hotel,5,Exempt
290908,Lexia,5,No License
292084,Peretz,1,No License
292204,Furnished Quarters,164,No License
292522,Claire,2,No License
292630,Nathan,44,No License
295128,Lee,8,No License
297176,Dina,3,No License
297818,Alberto,3,Exempt
301836,Sunday,2,No License
304434,Wil,1,No License
306394,Furnished Quarters,164,No License
306739,Candy,1,No License
308374,Monica,1,No License
308930,Emily,1,No License
309329,Carmen,1,No License
310670,Gregory,1,No License
312288,Virginia,1,No License
314256,Gena,3,No License
314377,Rahul,2,No License
314582,Daniel,8,No License
314941,Tony,3,No License
315401,Jason,1,No License
315824,Nomad,53,Exempt
318340,Alex,3,No License
318899,Tomás,1,No License
319842,Gabi,1,No License
320114,Erica,1,No License
320538,Anatha Angèle,2,No License
322884,Melissa,1,No License
324460,Samir,1,No License
324628,Shelley,1,No License
325862,Curt & Patricia,1,OSE-STRREG-0000093
325994,Paddy,1,No License
326465,Aron,3,No License
326495,C-Van,2,No License
327033,Kristina,9,No License
327439,Nandanie,1,No License
327489,Katherine,1,No License
327673,Talisha,1,No License
329271,Nyoh,4,No License
329436,Jampa,6,No License
330347,Michelle,3,No License
330371,Tia,1,Exempt
331328,Anton,1,No License
331579,AFI Apartments,31,No License
333017,Tatiana,1,No License
335272,Elle,1,No License
338845,Ashley,1,No License
