listing_id,host_id,room_type,price,minimum_nights,availability_365,bedrooms,beds,baths,rating
1312228,7130382,Private room,55,30,0,1,1,Not specified,5
45277537,51501835,Entire home/apt,144,30,364,2,1,1,4.67
97135399,528871354,Entire home/apt,187,2,343,1,2,1,4.17
3857863,19902271,Private room,120,30,363,1,1,1,4.64
40896611,61391963,Entire home/apt,85,30,335,Studio,1,1,4.91
49584983,51501835,Entire home/apt,115,30,276,1,1,1,5
45457047,51501835,Entire home/apt,105,30,364,Studio,1,1,4.33
45847112,51501835,Entire home/apt,130,30,295,2,2,1,4.5
19280212,2526182,Private room,90,30,5,1,1,1,4.79
89568161,14251313,Entire home/apt,292,30,365,1,1,1,4.67
17367484,84109314,Private room,120,30,365,1,2,1,No rating
22066430,20604809,Entire home/apt,160,30,0,Studio,1,1,4.71
92997846,21662972,Entire home/apt,100,30,38,1,1,1,No rating
26448665,38713773,Private room,70,30,0,1,1,1,No rating
28224871,187148732,Entire home/apt,164,30,0,2,3,1,3.2
29923599,220229838,Hotel room,1000,30,363,Studio,2,1,No rating
23053827,171107511,Private room,45,30,0,1,1,1,No rating
34718504,6674394,Entire home/apt,425,180,358,2,2,2,No rating
39022484,241889662,Private room,196,30,0,1,1,1,4.8
34511726,260475429,Entire home/apt,120,30,0,1,1,1,4.65
35376453,234383668,Entire home/apt,100,30,0,1,2,1,No rating
34621385,3899139,Entire home/apt,220,30,0,2,2,1,5
36819630,188207570,Entire home/apt,84,30,0,1,1,1,4.75
35574095,7258900,Private room,200,30,0,1,1,1,No rating
95072681,215565541,Private room,261,1,0,1,1,1,No rating
40658238,150022684,Private room,85,30,0,1,2,1,No rating
39558009,303941435,Private room,70,30,0,1,1,1.5,No rating
39899915,307330962,Private room,60,30,2,1,1,1,4.89
7070705,37072479,Private room,90,30,0,1,1,1,4.43
59351240,4068562,Entire home/apt,75,30,0,1,1,1,No rating
45938560,6913051,Private room,106,30,15,1,1,1,5
46156111,3223938,Private room,36,90,0,1,1,2,No rating
95277087,215565541,Private room,220,1,0,1,1,1,4.33
48194167,388818764,Private room,55,30,0,1,1,1,No rating
66176169,45400201,Private room,69,30,55,1,1,1,4.82
235951,1236070,Entire home/apt,188,30,91,1,1,1,4.69
48298348,309612914,Private room,99,30,0,1,1,1,5
367810,1728785,Private room,180,30,3,2,1,1,5
271694,1387370,Entire home/apt,125,365,0,1,1,1,4.11
13213869,38284609,Private room,85,30,0,1,1,1.5,4.9
13325767,10864311,Private room,75,30,0,1,1,1,4.33
48676880,349342033,Private room,100,30,0,1,1,1,No rating
47942202,43825074,Private room,38,30,285,1,1,1,4.5
88136177,500477805,Private room,121,30,364,Studio,3,1,4.67
39125813,77290831,Entire home/apt,118,30,179,1,3,1,5
1126944,128663,Entire home/apt,109,30,0,3,5,3,4.67
53832868,39553567,Entire home/apt,75,30,339,1,2,1,4.74
1027808,5655889,Entire home/apt,450,30,355,2,1,2,4.87
1203627,6455628,Private room,90,30,279,1,1,1,3.67
1146653,836168,Entire home/apt,1000,30,364,2,1,1,4.9
843491,4241953,Private room,98,30,268,1,1,1,4.75
20801864,77750223,Private room,114,30,177,2,1,1,4.87
3840324,10366196,Entire home/apt,120,30,0,1,1,1,4.94
4089102,21183428,Entire home/apt,170,30,12,2,2,1,4.66
84798275,505586331,Private room,100,30,180,1,2,1,4.58
48851559,3711407,Entire home/apt,168,30,9,1,1,1,No rating
48867046,384559808,Entire home/apt,80,30,17,Studio,1,1,5
3359510,7503643,Hotel room,135,30,249,Studio,2,1,4.95
72479895,29344465,Entire home/apt,100,30,83,1,1,1,4.78
3394517,17125263,Private room,49,30,0,3,1,1.5,4.75
68123171,132551372,Entire home/apt,120,30,100,2,3,1,4.83
49057864,22103146,Private room,65,30,0,1,1,1,No rating
43197566,338412156,Entire home/apt,160,30,364,2,4,1,4.73
4847177,24940913,Entire home/apt,140,30,0,2,2,1,No rating
80717206,496749638,Entire home/apt,900,30,365,6,8,4,4.5
49124837,383332265,Private room,999,1,0,Studio,1,1,4.8
6523409,2124716,Private room,99,30,0,1,1,1,4.53
83983948,56410716,Entire home/apt,95,30,0,1,3,1,No rating
64873302,375297023,Entire home/apt,123,30,365,1,1,1,4.15
70218205,183178516,Entire home/apt,418,30,365,3,6,1,No rating
72232877,328093301,Private room,130,2,357,2,4,1,4.79
25476838,78289814,Entire home/apt,130,30,150,1,2,1,5
70200519,274452385,Entire home/apt,191,30,365,2,2,1,4.45
76259917,102833442,Entire home/apt,60,30,203,Studio,2,1,4.58
62050364,97328229,Entire home/apt,120,30,348,2,3,1,5
99573122,391579286,Entire home/apt,460,2,214,5,9,3.5,4.67
49275777,75248463,Entire home/apt,200,30,289,1,2,1,4.46
51425482,380355687,Entire home/apt,200,700,95,1,1,1,4.86
56455266,411757269,Private room,70,31,90,1,1,1,4.42
28838614,73638523,Entire home/apt,88,30,297,1,2,1,4.81
52553133,423873487,Entire home/apt,174,1,0,1,1,1,3.84
52553514,423873487,Entire home/apt,179,1,0,1,1,1,4.27
52553544,423873487,Entire home/apt,172,1,0,1,1,1,4.21
49732450,401096854,Private room,95,30,0,1,1,1,5
52566357,24740457,Entire home/apt,125,60,35,1,1,1,4.93
50504090,223558519,Private room,50,30,0,1,1,1,4.61
50802956,5406114,Private room,179,30,332,1,2,1,4.77
84809649,19303369,Private room,30,30,25,1,1,1,No rating
15158194,7245581,Entire home/apt,84,75,363,1,1,1,4.4
84908593,78469790,Entire home/apt,120,30,0,1,1,1,No rating
94500728,528289924,Entire home/apt,74,30,51,1,1,1,No rating
10254902,306654226,Entire home/apt,428,2,269,1,1,1,5
50915627,594816,Entire home/apt,275,30,364,1,1,1,4.75
51143675,411034737,Entire home/apt,250,30,349,2,10,1,4.53
51901717,4493085,Entire home/apt,325,30,0,1,1,1.5,No rating
51821915,163251048,Entire home/apt,348,30,363,1,2,1,No rating
51196430,395699445,Private room,56,30,0,1,1,1,No rating
53384597,123320165,Entire home/apt,120,30,0,1,1,1,No rating
9548422,5053976,Private room,45,30,310,1,1,1,No rating
60201937,156583372,Private room,45,30,0,1,1,1,4.94
68116440,19758179,Entire home/apt,89,30,343,1,1,1,4.67
13187006,62668424,Entire home/apt,116,30,365,1,3,1,4.58
9725508,16437254,Entire home/apt,95,30,241,Studio,2,1,4.76
83116788,266577166,Private room,40,30,205,1,1,1,5
58342856,95303084,Entire home/apt,200,30,365,Studio,1,1,4.7
41567947,327541101,Entire home/apt,100,30,359,Studio,2,1,5
10017375,32212,Entire home/apt,108,30,340,1,2,1,No rating
39702571,165136941,Private room,123,1,148,1,1,1,4.86
42888442,113723310,Entire home/apt,206,30,280,2,2,1,4.6
