location_id,borough,borough_id,latitude,longitude,listing_id
1,Clinton Hill,2,40.68371,-73.96461,1312228
2,Hell's Kitchen,3,40.76661,-73.9881,45277537
3,Chelsea,3,40.75076357,-73.99460515,97135399
4,Washington Heights,3,40.8356,-73.9425,3857863
5,Murray Hill,3,40.75112,-73.9786,40896611
6,Hell's Kitchen,3,40.75995,-73.99296,49584983
7,Hell's Kitchen,3,40.76737,-73.98787,45457047
8,Hell's Kitchen,3,40.76519,-73.99013,45847112
9,Williamsburg,2,40.71153,-73.95312,19280212
10,Sunset Park,2,40.65891327,-73.98958973,89568161
11,Astoria,4,40.76068,-73.90926,17367484
12,Williamsburg,2,40.7132,-73.96176,22066430
13,Financial District,3,40.70999354,-74.00499963,92997846
14,Sunnyside,4,40.74347,-73.91396,26448665
15,Washington Heights,3,40.83969,-73.93861,28224871
16,Midtown,3,40.76176,-73.97659,29923599
17,East Elmhurst,4,40.76529,-73.86361,23053827
18,Upper West Side,3,40.79283,-73.9719,34718504
19,West Village,3,40.73888,-74.00343,39022484
20,Kensington,2,40.64304,-73.97964,34511726
21,Williamsburg,2,40.71336,-73.95495,35376453
22,Bushwick,2,40.70477,-73.92671,34621385
23,Red Hook,2,40.67673,-74.00194,36819630
24,Tribeca,3,40.71446,-74.00826,35574095
25,Hell's Kitchen,3,40.7603457,-73.9877968,95072681
26,Woodside,4,40.74376,-73.90008,40658238
27,Roosevelt Island,3,40.76381,-73.94959,39558009
28,Concourse Village,1,40.82859,-73.91957,39899915
29,Williamsburg,2,40.71905,-73.95937,7070705
30,Harlem,3,40.82378,-73.9508,59351240
31,Williamsburg,2,40.71265,-73.96539,45938560
32,Flatbush,2,40.65442,-73.95565,46156111
33,Williamsburg,2,40.707258,-73.9339721,95277087
34,University Heights,1,40.85615,-73.9152,48194167
35,Flushing,4,40.75972,-73.81527,66176169
36,Midtown,3,40.75408,-73.97071,235951
37,East Elmhurst,4,40.76366,-73.86133,48298348
38,Greenpoint,2,40.73626,-73.95634,367810
39,Midtown,3,40.75282,-73.97315,271694
40,Washington Heights,3,40.84387,-73.94179,13213869
41,Clinton Hill,2,40.69257,-73.96887,13325767
42,Ridgewood,4,40.70349,-73.90875,48676880
43,Cypress Hills,2,40.68693,-73.87378,47942202
44,Flushing,4,40.75713694,-73.81348864,88136177
45,Prince's Bay,5,40.52339,-74.20517,39125813
46,Kensington,2,40.63866,-73.9715,1126944
47,Port Richmond,5,40.62866,-74.14578,53832868
48,East Village,3,40.72154,-73.98174,1027808
49,Astoria,4,40.76299,-73.92416,1203627
50,Upper West Side,3,40.79296,-73.96499,1146653
51,Flushing,4,40.75869,-73.80992,843491
52,Clason Point,1,40.8159,-73.86486,20801864
53,Williamsburg,2,40.70824,-73.94681,3840324
54,Bedford-Stuyvesant,2,40.68401,-73.95626,4089102
55,Gravesend,2,40.6023553,-73.9902915,84798275
56,Long Island City,4,40.74726,-73.94574,48851559
57,Gramercy,3,40.7338,-73.98532,48867046
58,Greenpoint,2,40.72623,-73.94128,3359510
59,East Flatbush,2,40.64546,-73.9429,72479895
60,East Harlem,3,40.80303,-73.93888,3394517
61,Kensington,2,40.63367036,-73.97068362,68123171
62,Washington Heights,3,40.85373,-73.93614,49057864
63,St. George,5,40.64557,-74.08443,43197566
64,Boerum Hill,2,40.68574,-73.99055,4847177
65,South Ozone Park,4,40.66493199,-73.81553072,80717206
66,Chelsea,3,40.74766,-73.99227,49124837
67,Park Slope,2,40.66923,-73.98134,6523409
68,Crown Heights,2,40.67820796,-73.95278474,83983948
69,Wakefield,1,40.88353,-73.85161,64873302
70,Forest Hills,4,40.73234628,-73.84721232,70218205
71,Springfield Gardens,4,40.67406,-73.76267,72232877
72,North Riverdale,1,40.90341,-73.90199,25476838
73,Belmont,1,40.85532,-73.88953,70200519
74,Corona,4,40.736906,-73.861374,76259917
75,Tremont,1,40.84208,-73.8911,62050364
76,Flatbush,2,40.64640857,-73.95306681,99573122
77,East Flatbush,2,40.64509,-73.94641,49275777
78,West Village,3,40.733143,-74.009605,51425482
79,Elmhurst,4,40.73279,-73.87233,56455266
80,4 Village,4,40.72122,-73.75003,28838614
81,Midtown,3,40.76301,-73.97743,52553133
82,Midtown,3,40.76314,-73.97703,52553514
83,Midtown,3,40.76344,-73.97524,52553544
84,Bedford-Stuyvesant,2,40.68322,-73.91827,49732450
85,Greenpoint,2,40.73261,-73.95662,52566357
86,Prospect-Lefferts Gardens,2,40.65823,-73.95602,50504090
87,Harlem,3,40.81204,-73.94234,50802956
88,Elmhurst,4,40.72826122,-73.87504158,84809649
89,Washington Heights,3,40.83501,-73.93934,15158194
90,Fort Greene,2,40.68794,-73.97203,84908593
91,Harlem,3,40.82022269,-73.94580424,94500728
92,Hell's Kitchen,3,40.75704,-73.99068,10254902
93,Chelsea,3,40.73867,-73.99878,50915627
94,East Flatbush,2,40.6398509,-73.9366136,51143675
95,Financial District,3,40.70401,-74.00919,51901717
96,Midtown,3,40.755878,-73.963348,51821915
97,Sunnyside,4,40.74431,-73.92326,51196430
98,Astoria,4,40.76769,-73.91048,53384597
99,Bedford-Stuyvesant,2,40.68977,-73.95835,9548422
100,Allerton,1,40.859352,-73.864983,60201937
101,Bushwick,2,40.70095,-73.91389,68116440
102,Sunnyside,4,40.7435,-73.915,13187006
103,Boerum Hill,2,40.68812,-73.9854,9725508
104,Bushwick,2,40.69679,-73.91672,83116788
105,Upper West Side,3,40.78823,-73.96957,58342856
106,Bushwick,2,40.70541,-73.92392,41567947
107,Bedford-Stuyvesant,2,40.68884468,-73.9303994,10017375
108,Bedford-Stuyvesant,2,40.68561,-73.94407,39702571
109,Upper East Side,3,40.77328,-73.95003,42888442
110,Bedford-Stuyvesant,2,40.68438,-73.95666,53662451
111,Bushwick,2,40.6882214,-73.9141898,89890464
112,Crown Heights,2,40.67764152,-73.941112,94557759
113,Bushwick,2,40.69005,-73.92008,46070335
114,Bedford-Stuyvesant,2,40.68834,-73.95842,26641779
115,Bedford-Stuyvesant,2,40.68295,-73.91738,43744465
116,Bushwick,2,40.68769,-73.91788,83243
117,Bedford-Stuyvesant,2,40.68278,-73.94362,59216083
118,Upper East Side,3,40.7749268,-73.9481632,74185610
119,Bedford-Stuyvesant,2,40.67985,-73.90589,64868650
120,Bedford-Stuyvesant,2,40.68358,-73.95284,32354513
121,Bedford-Stuyvesant,2,40.6830561,-73.9211135,80923034
122,Upper West Side,3,40.80007,-73.95926,51288172
123,Williamsburg,2,40.71621,-73.95665,49755231
124,Richmond Hill,4,40.695188,-73.8350487,69212533
125,Bushwick,2,40.68653,-73.91388,29990168
126,Greenpoint,2,40.72555,-73.95576,52855744
127,Kips Bay,3,40.74293,-73.97318,44189936
128,Bushwick,2,40.6864157,-73.9095853,83647123
129,East Harlem,3,40.79398829,-73.94719684,80097521
130,Greenpoint,2,40.7208,-73.94238,17434977
131,Williamsburg,2,40.70866,-73.95203,73180030
132,Bushwick,2,40.6915,-73.9123,70085036
133,Bushwick,2,40.68648,-73.9155,46695446
134,Morningside Heights,3,40.8027795,-73.95851182,85796772
135,Bedford-Stuyvesant,2,40.68456,-73.9201,66147982
136,Bushwick,2,40.68278571,-73.90693266,92390070
137,Upper East Side,3,40.7742384,-73.9486798,87588912
138,Bushwick,2,40.68972,-73.91105,53494944
139,Williamsburg,2,40.71806,-73.95905,89653667
140,Upper East Side,3,40.77255,-73.94665,53364824
141,Bushwick,2,40.68941,-73.91857,50652330
142,East Harlem,3,40.79681,-73.94515,18971993
143,Bushwick,2,40.68776,-73.90614,50971404
144,Williamsburg,2,40.70709674,-73.94905174,79207157
145,Chelsea,3,40.74612142,-73.99250682,99347290
146,Williamsburg,2,40.70662,-73.94778,53340040
147,Harlem,3,40.80167374,-73.95898186,70610307
148,Harlem,3,40.81167172,-73.94215547,10162291
149,East Harlem,3,40.79024,-73.94791,54926740
150,East Harlem,3,40.7955675,-73.95002258,67093554
151,Harlem,3,40.80045,-73.9538,50879115
152,Flatlands,2,40.62478,-73.92881,48547934
153,Upper West Side,3,40.79751,-73.9707,51966299
154,Chelsea,3,40.75013945,-74.00272135,98677868
155,Bedford-Stuyvesant,2,40.68183,-73.92113,52967909
156,Upper East Side,3,40.78225,-73.95408,45578986
157,Upper East Side,3,40.78118,-73.95306,18359018
158,Williamsburg,2,40.71499,-73.9463,9324841
159,Williamsburg,2,40.71147,-73.94896,37002006
160,Harlem,3,40.81011,-73.94404,15343302
161,Upper East Side,3,40.75966,-73.96124,5231817
162,Upper East Side,3,40.78185234,-73.94543096,87042009
163,East Harlem,3,40.78695,-73.94853,74474940
164,Chelsea,3,40.75398,-73.99982,4472978
165,Upper East Side,3,40.77810632,-73.9543089,80316482
166,Upper East Side,3,40.77668313,-73.94496253,45378043
167,Upper East Side,3,40.78155,-73.9564,85928326
168,St. Albans,4,40.70495,-73.75051,76291372
169,Flatbush,2,40.63308,-73.95073,65657244
170,Upper East Side,3,40.78213,-73.95269,46335178
171,Bay Ridge,2,40.62159,-74.02258,52973793
172,SoHo,3,40.72308561,-74.00409227,98444563
173,East Village,3,40.72544,-73.9805,707396
174,Lower East Side,3,40.71312013,-73.98702905,99372570
175,Kensington,2,40.64344,-73.98187,51510371
176,St. Albans,4,40.69251,-73.75652,69973939
177,East Village,3,40.72561549,-73.98405861,65144971
178,Lower East Side,3,40.7152693,-73.98147783,91257435
179,East Village,3,40.72585,-73.98542,721762
180,Upper West Side,3,40.79512,-73.96325,12190880
181,Upper East Side,3,40.77669,-73.95299,10067909
182,Harlem,3,40.80272,-73.95316,318021
183,Williamsburg,2,40.70765,-73.94983,49835791
184,Williamsburg,2,40.71307,-73.95633,52824025
185,Bushwick,2,40.6898,-73.92042,50695926
186,Upper East Side,3,40.7794,-73.95096,198478
187,West Brighton,5,40.62872,-74.12154,8664611
188,Bushwick,2,40.6905,-73.91028,81101907
189,Harlem,3,40.80296,-73.95639,87896873
190,Morningside Heights,3,40.80634,-73.95905,77601373
191,Bedford-Stuyvesant,2,40.68697,-73.91785,40347199
192,Bushwick,2,40.68811035,-73.91184235,15381675
193,Harlem,3,40.8174733,-73.9441909,84654641
194,Bedford-Stuyvesant,2,40.69152,-73.95548,43725737
195,Chelsea,3,40.73961,-73.99441,53292314
196,East Flatbush,2,40.64434,-73.92383,6685220
197,Flushing,4,40.74821,-73.82934,33276141
198,Harlem,3,40.8096,-73.94712,3780113
199,Parkchester,1,40.82949,-73.87561,94060039
